City,PG Name,Nearby College,Address,Rent (INR/Month),Room Type,Amenities,Distance to College (km),Rating,Reviews,Contact,Nearby Companies,Nearby Locations,PG Type,Vacancy Status,Meals Included,Meal Charges,Electricity Charges,Room Size (sq.ft),Public Transport Access,Gym,Wi-Fi Speed,Payment Frequency,Advance Payment Required,Security Features,Social Events
Salem,"Dawson, Simmons and Parker",Periyar University,"696 Wallace Crossroad Suite 673
Williamsstad, KS 06026",9393,Double,"Wi-Fi, AC, Laundry, Kitchen",1.266234156269003,4.242358225755921,Tough accept eye far arrive main think.,9647276997,"Cox, Porter and Henson",Wilsonmouth,Male-only,Available,No,0,Not Included,158,Near metro station,Yes,Unlimited,Monthly,No,CCTV,Yes
Erode,Barker LLC,Erode Arts and Science College,"1666 Amanda Common
East Frankburgh, TN 74799",7226,Single,"AC, Laundry, Parking",3.4726866557841687,4.891515756865429,Investment whether indeed here.,589-302-1830,Cook and Sons,Singletonport,Co-ed,Not Available,No,0,Not Included,119,Near local train,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Chennai,"Grant, Smith and Castro",University of Madras,"3640 Robert Burg
East Virginiaview, ID 09748",8392,Shared,"Wi-Fi, AC, Laundry, Kitchen",1.2570416196367606,4.940616515060594,Order student total assume me.,933-352-0924,Gallagher-Jennings,Pattersonside,Male-only,Available,Yes,2235,Included,194,Near metro station,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Madurai,Reyes-Griffith,Tamil Nadu Medical University,"40919 King Ranch
South Charlotteville, TX 77926",5414,Double,"AC, Laundry, Parking",1.5904156967530416,4.8715182338951095,Tax shake bad happy health prepare.,(555)475-9506x2850,"Smith, Brown and Green",Smithton,Male-only,Not Available,Yes,1387,Not Included,135,Near local train,No,50 Mbps,Monthly,No,"CCTV, Guard at Night",No
Coimbatore,Jackson-Petty,Coimbatore Institute of Technology,"Unit 1959 Box 7502
DPO AA 12277",13794,Shared,"AC, Laundry, Parking",2.579356515867907,3.648625883828557,Upon administration way experience.,546.530.7164x589,"Baker, Hester and Richardson",South Danielmouth,Co-ed,Available,No,0,Not Included,137,Near local train,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Salem,Mccoy-Sullivan,Periyar University,"PSC 0958, Box 2274
APO AA 23055",14617,Single,"AC, Laundry, Parking",2.4187913261150813,4.62816786557802,Reveal describe discuss material writer reflect.,112-429-3504x7786,"Jones, Reed and Wilkerson",North Dennis,Co-ed,Not Available,No,0,Included,174,Near metro station,No,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",No
Madurai,Collins LLC,Madurai Kamaraj University,"298 Jensen Rapids Apt. 792
Shawnton, MI 55931",13846,Double,"Wi-Fi, AC, Laundry, Kitchen",1.9664732910100446,4.226265636478252,Create democratic success foreign my success clear total.,103.930.1741,Dixon Inc,North Jamesbury,Co-ed,Not Available,Yes,2984,Included,153,Near metro station,No,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Madurai,Campbell-Mcmillan,VIT Madurai,"2355 Webster Track Suite 507
Douglasside, IL 06328",10196,Double,"Wi-Fi, Laundry",4.3721694825448605,3.936408873996908,Wonder day especially product eight between feel.,+1-438-210-0713x2482,Hardin-Sosa,East Davidview,Female-only,Not Available,Yes,2638,Included,166,Near local train,Yes,50 Mbps,Monthly,No,"CCTV, Guard at Night",No
Madurai,Patterson Group,Madurai Kamaraj University,"08057 Davis Lakes Apt. 490
Fisherberg, TN 99156",8205,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.761077370964802,3.6118214057593407,Social eight wrong recently.,+1-885-092-9437x94664,Payne Group,Michaelfurt,Co-ed,Not Available,No,0,Not Included,103,Near local train,Yes,Unlimited,Quarterly,No,CCTV,No
Chennai,Nguyen Inc,VIT University,"USNS Hernandez
FPO AE 74336",11797,Double,"AC, Laundry, Parking",3.95584077544194,3.178802401513556,Necessary several major instead less east husband.,+1-901-062-2768,"Smith, Wilson and Wilson",South Nicholas,Male-only,Available,No,0,Not Included,104,Near metro station,Yes,50 Mbps,Quarterly,Yes,Security Guard,Yes
Erode,Davis Ltd,Erode Arts and Science College,"43004 Fuentes Highway Apt. 710
Crystalton, MS 72180",6717,Double,"AC, Laundry, Parking",3.955591224641952,4.950580296574764,Both almost security for green management.,(893)750-0823x511,Cannon Ltd,North Beckyfurt,Male-only,Not Available,Yes,1280,Included,112,5 min walk to bus stop,No,100 Mbps,Quarterly,Yes,Security Guard,No
Vellore,Salinas-Benson,Vellore Institute of Technology University,"334 Odonnell Land
South Charlesmouth, VA 61747",12896,Double,"Wi-Fi, AC, Laundry, Kitchen",2.841566970988822,3.645057132908704,Attention mind few most oil part.,(884)542-5517x49199,Knox-Miles,Dannyport,Female-only,Not Available,Yes,2656,Included,130,Near local train,Yes,100 Mbps,Monthly,No,CCTV,No
Vellore,Pena-Pierce,VIT Vellore,"151 Smith Trail
Matthewchester, VA 30343",7040,Shared,"Wi-Fi, AC, Laundry, Kitchen",1.6704995071643336,3.820115074230668,For new better way quality husband something source.,941-879-1209x76483,Roberts-Herring,Pamland,Female-only,Available,No,0,Not Included,179,Near local train,Yes,100 Mbps,Quarterly,No,CCTV,Yes
Vellore,Conway-Davis,VIT Vellore,"40457 Jeffrey Grove
Evansborough, NH 50418",7774,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.284733587172202,3.1678686344601514,Main else out he hit particular standard.,954-591-2485,Diaz-Lewis,West Jordan,Male-only,Available,Yes,1907,Not Included,154,5 min walk to bus stop,No,Unlimited,Quarterly,No,CCTV,No
Erode,Ross-Murphy,Erode Arts and Science College,"317 Donald Spring
Courtneybury, WV 12311",11485,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.9488715391649407,3.244344726913657,Boy those perform visit.,920.323.3804x696,"James, Gilbert and Smith",South Brandy,Co-ed,Available,Yes,2630,Included,180,Near local train,No,50 Mbps,Quarterly,No,Security Guard,No
Tiruchirappalli,Chambers-Strickland,Anna University Tiruchirappalli,"99069 Gonzalez Path
Joshuaview, MI 67073",6947,Single,"AC, Laundry, Parking",2.496040616368852,4.5190272835663166,Argue style investment I painting range why could.,268.182.0750x7205,Jones-Li,Port Donald,Co-ed,Not Available,Yes,2947,Included,100,Near local train,No,50 Mbps,Quarterly,Yes,Security Guard,Yes
Salem,"Kent, Stewart and Ballard",Government College of Engineering Salem,"8968 Jennifer Crescent Apt. 503
Peckborough, CO 71259",9836,Single,"AC, Laundry, Parking",4.467002850916808,4.484700737493396,Citizen Democrat city play now first sign.,865.732.3945,Stewart LLC,West Angelaburgh,Male-only,Not Available,No,0,Not Included,102,5 min walk to bus stop,No,Unlimited,Monthly,Yes,"CCTV, Guard at Night",No
Erode,Martinez Inc,Erode Arts and Science College,"341 Kelly Terrace Suite 994
Clarkberg, TN 06030",8838,Double,"Wi-Fi, AC, Laundry, Kitchen",1.9647913148771603,3.8406423658009246,Administration give example rule new either cultural a.,(236)773-1617x8610,Pennington-Cole,Natashatown,Female-only,Available,Yes,1989,Not Included,120,Near local train,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Madurai,Crawford-Greer,VIT Madurai,"598 Kimberly Via Suite 219
Lake Markberg, AK 04855",11476,Single,"Wi-Fi, Laundry",2.0723013759714513,4.000092131459957,Information including soon understand newspaper study couple watch.,2009906564,"Moore, Patterson and White",Walkerport,Male-only,Not Available,No,0,Included,104,Near local train,No,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",No
Erode,Garcia-Miller,The Gandhigram Rural Institute,"7566 Charles Route
Amymouth, IN 43937",8965,Single,"Wi-Fi, AC, Laundry, Kitchen",1.6926137309385245,3.960779873792063,Strategy result forward small.,(594)059-3535,Smith Inc,Daisyhaven,Co-ed,Available,Yes,2868,Not Included,188,5 min walk to bus stop,No,100 Mbps,Quarterly,No,CCTV,No
Madurai,Phillips-Henderson,Tamil Nadu Medical University,"Unit 9853 Box 2426
DPO AE 60740",7576,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.912791649388835,4.369980436996499,Hit difference however do tonight.,001-001-782-8538,Goodman PLC,Davidborough,Female-only,Not Available,Yes,1898,Included,175,Near metro station,Yes,Unlimited,Quarterly,No,Security Guard,No
Chennai,"Martinez, White and Stevens",Anna University,"PSC 3905, Box 7912
APO AP 11340",14242,Single,"AC, Laundry, Parking",1.6454453055506568,3.354928314443658,Near peace find black poor author stock.,918-529-5536x4016,"Moore, Larsen and Garcia",South Devinburgh,Male-only,Available,Yes,2408,Not Included,100,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Erode,"Ramos, Russell and Nelson",The Gandhigram Rural Institute,"PSC 7287, Box 1276
APO AE 16099",7598,Double,"AC, Laundry, Parking",4.240625690368788,3.3122750025544994,Anyone build lot.,+1-323-977-0291x315,"Mclaughlin, Lawson and Stafford",Hintonton,Female-only,Not Available,Yes,1297,Included,120,Near local train,No,100 Mbps,Quarterly,No,Security Guard,No
Chennai,Duarte-Miles,SRM Institute of Science and Technology,"1108 Taylor Garden
Wrightside, ME 09171",11044,Single,"AC, Laundry, Parking",1.406929720212621,3.632873332438181,Out bill north necessary treat former.,(921)514-9132x564,Howard Inc,Shirleychester,Co-ed,Available,Yes,1051,Not Included,168,Near local train,No,Unlimited,Quarterly,Yes,CCTV,No
Chennai,"Martinez, Guerra and Sanchez",SRM Institute of Science and Technology,"25464 Jordan Ville
New Monica, VA 30377",6058,Double,"AC, Laundry, Parking",4.578667608474736,3.6272398129041297,Contain situation through.,3854639776,"Mcgrath, Lynch and Weaver",Lake Andrew,Male-only,Not Available,Yes,1943,Included,186,Near local train,No,50 Mbps,Monthly,No,CCTV,No
Erode,"Vincent, Ellison and Bennett",Erode Arts and Science College,"0698 Anderson Plaza Apt. 849
Victoriaton, MN 43355",5680,Single,"AC, Laundry, Parking",1.1927386913356282,4.084133183650272,Weight beautiful water moment my board sign note.,573-197-4024x0318,"Turner, Harris and Barnes",East Terri,Male-only,Not Available,No,0,Not Included,105,5 min walk to bus stop,Yes,Unlimited,Monthly,No,Security Guard,Yes
Vellore,Lee-Thompson,VIT Vellore,"95274 Mack Ports
New Nicholas, AL 87291",10412,Double,"Wi-Fi, Laundry",1.026223942430689,3.8726688989550597,Performance only cause.,5438369807,Hall Inc,West Jenniferhaven,Male-only,Available,Yes,1203,Not Included,132,Near metro station,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",No
Madurai,Mathews and Sons,Tamil Nadu Medical University,"832 Michelle Land
West Coreyville, OH 63102",14191,Shared,"AC, Laundry, Parking",2.677019010001038,4.928989976725379,Require style wonder that expert contain entire energy.,(299)300-3622,Jones Inc,East Nicholasmouth,Co-ed,Not Available,Yes,1007,Not Included,156,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Madurai,Gregory-Bass,VIT Madurai,"27760 Jones Summit Suite 309
East Alexandra, NC 19064",6759,Single,"Wi-Fi, Laundry",2.954275774777877,3.7172220925567485,Provide suddenly game specific box.,4093987020,Lucas-Carson,Paulaview,Male-only,Available,No,0,Included,132,Near metro station,Yes,50 Mbps,Monthly,No,"CCTV, Guard at Night",No
Tiruchirappalli,Perez Group,Bharathidasan University,"00118 Ellis Mills
Cabreraview, CT 07780",12483,Double,"Wi-Fi, Laundry",1.9998637960870265,3.630921139701477,Bag bank test hope.,(277)246-9929x84853,"Freeman, Nichols and Smith",Lake Kevin,Female-only,Not Available,No,0,Not Included,124,Near local train,Yes,50 Mbps,Quarterly,Yes,Security Guard,No
Coimbatore,Anderson Inc,Coimbatore Institute of Technology,"6213 Chad Avenue Suite 085
Alanland, IA 85194",12250,Single,"Wi-Fi, AC, Laundry, Kitchen",3.1734533913513565,4.387207485366601,From grow east.,+1-193-613-7800,Rivera PLC,Millerton,Male-only,Available,Yes,1739,Included,173,Near local train,No,50 Mbps,Quarterly,No,Security Guard,Yes
Salem,Shaffer-Thompson,Periyar University,"692 Anne Ridge
West Daniel, OR 63205",9115,Double,"Wi-Fi, AC, Laundry, Kitchen",2.7375955746921443,4.6059982693337105,Expert these whom general factor bring red.,019.621.2266,Schmidt LLC,Fitzgeraldside,Male-only,Not Available,No,0,Included,134,Near local train,No,50 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Chennai,"Stevens, Johnson and Smith",VIT University,"35133 Conrad Square
East Edwardfort, AR 05008",7384,Single,"AC, Laundry, Parking",4.163636028816919,4.531834565913066,Recognize teacher very majority grow could.,001-211-075-4379x339,Pennington-Green,Pearsonside,Co-ed,Not Available,No,0,Not Included,105,5 min walk to bus stop,No,Unlimited,Quarterly,No,"CCTV, Guard at Night",No
Madurai,"Wall, Cox and Johns",Tamil Nadu Medical University,"7332 Reilly Key
Cannonfort, OR 86154",5096,Shared,"AC, Laundry, Parking",4.249418326889684,4.755132004680618,Into per garden picture begin.,(230)104-0232,Banks-Singh,East Matthewview,Co-ed,Available,Yes,2204,Not Included,154,Near metro station,Yes,Unlimited,Monthly,No,Security Guard,No
Chennai,Lopez Group,VIT University,"4275 Gill Avenue
Paulafort, AR 99876",9359,Single,"Wi-Fi, AC, Laundry, Kitchen",3.9710820949524583,4.8022645617886255,Station fight collection.,(388)797-0875,"Patterson, Acosta and King",Elizabethland,Male-only,Available,Yes,2477,Included,148,5 min walk to bus stop,Yes,Unlimited,Quarterly,Yes,Security Guard,No
Erode,"Johnson, Hernandez and Brown",The Gandhigram Rural Institute,"9687 Denise Expressway
Arnoldtown, ND 19088",10052,Single,"Wi-Fi, AC, Laundry, Kitchen",4.328400198528565,3.1594713118275575,Together blue another change very.,(194)878-1010,"Mitchell, Kane and Stevens",Lake Katherine,Female-only,Available,Yes,1175,Included,149,Near local train,No,Unlimited,Monthly,Yes,CCTV,Yes
Salem,"Ross, Dorsey and Garcia",Periyar University,"481 Stacy Row
Duncanmouth, KY 31580",9525,Double,"Wi-Fi, Laundry",4.3630659156552465,4.040779356647088,Economic anything everyone ground event know soldier.,(272)157-7097x02956,Clark Ltd,Gregoryfort,Female-only,Not Available,No,0,Not Included,164,Near local train,Yes,Unlimited,Quarterly,No,"CCTV, Guard at Night",No
Tiruchirappalli,"Downs, Price and Winters",National Institute of Technology Tiruchirappalli,"9069 Wilson Centers
Hollandton, KS 30154",10851,Double,"Wi-Fi, AC, Laundry, Kitchen",3.395487369695735,4.310997005234996,Ready safe need current artist four so.,532.061.0884,"Oliver, Hall and Garcia",East Deanna,Male-only,Available,No,0,Not Included,192,5 min walk to bus stop,Yes,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",Yes
Madurai,Roberts Inc,Madurai Kamaraj University,"37509 Anderson Wall Suite 717
Medinamouth, TX 35177",5221,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.9482211236018845,4.625436178944537,Along hard employee cut think step reach fact.,001-415-293-9111x07648,"Stanton, Le and Richard",Bassland,Female-only,Available,Yes,2542,Not Included,116,Near local train,Yes,50 Mbps,Quarterly,Yes,"CCTV, Guard at Night",No
Chennai,Padilla Group,SRM Institute of Science and Technology,"955 Fischer Port Apt. 087
Port Rebecca, LA 38390",7791,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.1687553453095036,4.777742809843063,Without level in north near.,2923359392,Chapman-Ryan,Port Christinaburgh,Female-only,Not Available,No,0,Included,170,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Vellore,"Price, Morgan and Perez",Vellore Institute of Technology University,"98412 Ellis Ranch
East John, IL 70060",14377,Single,"Wi-Fi, AC, Laundry, Kitchen",4.0002223787508076,4.636869712040137,Late course loss indicate what apply skill.,000.786.3726x267,Allen-Johnson,New Amberville,Male-only,Available,No,0,Included,125,Near metro station,No,100 Mbps,Monthly,Yes,Security Guard,No
Tiruchirappalli,Flynn and Sons,Anna University Tiruchirappalli,"20966 Christy Shoals
Rodriguezland, NV 11795",11451,Shared,"Wi-Fi, AC, Laundry, Kitchen",2.2825788440126606,3.5193307990159584,Add sound teach manager.,188-079-4657,Greer PLC,Chandlertown,Male-only,Available,No,0,Not Included,190,Near local train,No,Unlimited,Quarterly,Yes,CCTV,No
Madurai,Walsh-Williams,VIT Madurai,"714 Allen Street Apt. 318
Anthonyshire, MA 49388",9525,Double,"Wi-Fi, Laundry",3.7749382704859515,3.4286801612029763,Contain certainly official upon more gun affect.,(326)416-2855,"Adams, Bailey and Vasquez",West Alexland,Female-only,Not Available,Yes,2839,Included,158,Near metro station,Yes,50 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Erode,"Clark, Campbell and Carpenter",The Gandhigram Rural Institute,"86136 Smith Parkways
East Patriciaberg, MI 41108",13139,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.094735151950728,4.387208566493598,Easy to growth author person list social certain.,514-426-5404,Roberts-Mitchell,West Davidland,Male-only,Not Available,No,0,Not Included,188,5 min walk to bus stop,Yes,Unlimited,Quarterly,Yes,Security Guard,Yes
Madurai,"Davidson, Owens and Santos",Madurai Kamaraj University,"46372 Vargas Cove Suite 016
Danielleport, OR 54722",9708,Shared,"AC, Laundry, Parking",3.6148564821089297,3.261587934822062,Career once camera treatment color.,047-122-8781,Griffin-Woods,Aaronchester,Co-ed,Available,Yes,2232,Not Included,145,5 min walk to bus stop,No,100 Mbps,Quarterly,Yes,CCTV,No
Salem,Hernandez-Robinson,Government College of Engineering Salem,"1596 Mcdonald Unions Apt. 531
South Robertside, AR 71666",11123,Shared,"Wi-Fi, Laundry",3.358516528401771,4.742958451880866,Machine worker to weight teach.,959-852-8508,Scott-Deleon,Audreymouth,Co-ed,Not Available,No,0,Not Included,130,5 min walk to bus stop,No,100 Mbps,Quarterly,Yes,CCTV,Yes
Madurai,"Hubbard, Briggs and Gordon",Madurai Kamaraj University,"5020 Erin Oval Suite 734
South Danielberg, MT 31126",7148,Double,"Wi-Fi, AC, Laundry, Kitchen",3.3675295978604938,4.138284649150384,Development lead me soon.,001-866-853-3376x139,"Jarvis, Cooley and Harris",West Stevenhaven,Male-only,Not Available,No,0,Included,115,5 min walk to bus stop,No,Unlimited,Quarterly,Yes,CCTV,No
Coimbatore,"Arias, Castro and Burgess",PSG College of Technology,"5954 Edward Forges
East Aaron, CA 83907",14851,Single,"Wi-Fi, AC, Laundry, Kitchen",4.909729878651535,3.476906214544889,Peace yeah discussion artist simple.,+1-099-815-0918x707,Jackson-Hays,East Lindatown,Female-only,Available,Yes,1825,Not Included,153,Near metro station,Yes,50 Mbps,Monthly,No,CCTV,Yes
Chennai,Reilly and Sons,University of Madras,"9938 James Mills Apt. 069
South Amberport, NM 72606",12973,Single,"Wi-Fi, AC, Laundry, Kitchen",4.538268708346694,3.744335342517497,Operation must seven military song yourself.,756.514.5402x8717,Cantu LLC,New Timothymouth,Co-ed,Available,Yes,2024,Not Included,191,Near local train,Yes,100 Mbps,Monthly,No,"CCTV, Guard at Night",Yes
Salem,Cox-Jones,Periyar University,"750 Randall Walk Suite 876
Anthonyland, VA 69916",6492,Shared,"AC, Laundry, Parking",4.724060205641402,4.118148561665285,Their throw serious side fund we.,1478836956,Garcia-Hubbard,Sanchezport,Female-only,Available,No,0,Not Included,187,Near local train,Yes,100 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Salem,Rogers-Payne,Periyar University,"15105 Hansen Vista
West Justinshire, AK 71354",14276,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.10168240247766,4.904966799948037,Home ground accept Democrat beautiful.,438-473-4502,"Williams, Lee and Camacho",Ericabury,Male-only,Available,Yes,2110,Included,182,Near local train,Yes,50 Mbps,Quarterly,No,CCTV,No
Madurai,"Edwards, Ryan and Calhoun",Madurai Kamaraj University,"2223 Hodges Causeway
Deanfort, VA 53958",8138,Single,"Wi-Fi, AC, Laundry, Kitchen",2.652058323684372,4.9659021952013145,Our role color firm team school.,+1-690-441-4748x26493,Cobb Ltd,East Lisa,Male-only,Available,Yes,1627,Not Included,149,5 min walk to bus stop,No,Unlimited,Monthly,Yes,CCTV,Yes
Chennai,Wolfe-Hart,SRM Institute of Science and Technology,"USS Lopez
FPO AE 37107",8981,Double,"AC, Laundry, Parking",4.21198443441507,4.814512456163411,Time material trial measure.,248.960.6243,Norton PLC,Deborahberg,Female-only,Available,Yes,1199,Included,142,5 min walk to bus stop,Yes,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Chennai,Duke Group,VIT University,"5724 Daniel Ville
Lindsayton, DE 93029",10916,Double,"AC, Laundry, Parking",1.3690808779307897,3.882612963793412,Value away think wrong you debate wish.,8671570554,Valentine-Anderson,West Steven,Co-ed,Available,Yes,1388,Included,137,Near local train,Yes,Unlimited,Quarterly,Yes,CCTV,No
Madurai,Bradley-Bell,VIT Madurai,"3209 Fox Trace Suite 607
South Jeffrey, MI 70801",10069,Single,"Wi-Fi, AC, Laundry, Kitchen",3.2392364730049428,3.4250752291581783,Art them eight political really full southern agree.,277-257-7735x9218,Carey LLC,West Amanda,Female-only,Not Available,Yes,1211,Not Included,170,Near local train,Yes,Unlimited,Monthly,Yes,Security Guard,No
Coimbatore,Peterson LLC,PSG College of Technology,"35770 Linda Way
West Sheilafurt, LA 37612",13604,Single,"AC, Laundry, Parking",3.4550094313979383,4.499313638554798,Without buy onto type.,+1-795-465-4932x81632,Schmidt-Nelson,Melissaview,Co-ed,Available,No,0,Included,195,Near local train,No,Unlimited,Quarterly,No,Security Guard,No
Coimbatore,Brown and Sons,Coimbatore Institute of Technology,"59887 Shannon Crest
Ballfort, AL 21364",9771,Double,"AC, Laundry, Parking",2.5406360639759797,3.7382377046843374,Trip seven why stay throw model paper.,(131)943-9814,Barajas PLC,Mooreville,Co-ed,Available,No,0,Not Included,140,5 min walk to bus stop,Yes,50 Mbps,Monthly,No,Security Guard,Yes
Salem,Carter-Curtis,Government College of Engineering Salem,"USNV Vincent
FPO AE 06167",5200,Single,"Wi-Fi, AC, Laundry, Kitchen",2.521172134212073,3.6554587599023103,Message turn run will.,9951933743,Williams LLC,Heatherborough,Co-ed,Not Available,Yes,2929,Included,116,5 min walk to bus stop,No,50 Mbps,Quarterly,Yes,CCTV,Yes
Madurai,Carr PLC,Tamil Nadu Medical University,"872 Cooper Streets Apt. 117
South Shirleystad, LA 41239",13273,Shared,"Wi-Fi, Laundry",4.390412387602751,3.466876477081408,Scene very although anyone.,626-770-6457,Watson Inc,East Vickieshire,Co-ed,Not Available,No,0,Not Included,192,Near local train,No,100 Mbps,Quarterly,Yes,CCTV,Yes
Erode,Bennett Inc,The Gandhigram Rural Institute,"37028 Murphy Plaza
Sandersview, MI 50132",6515,Single,"Wi-Fi, AC, Laundry, Kitchen",1.5650675036393,4.711052923659656,Across seven medical move.,398.425.9287,Williams-Oneal,Amandashire,Female-only,Not Available,No,0,Included,200,5 min walk to bus stop,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Coimbatore,Hunter-Mcneil,PSG College of Technology,"78425 Travis Overpass
Floresberg, WV 67782",14163,Shared,"Wi-Fi, Laundry",2.8534747222812866,4.719647941840784,Believe phone policy shake quality.,296-946-7000x41504,Jones-Carney,New Linda,Co-ed,Not Available,No,0,Included,174,Near metro station,Yes,Unlimited,Quarterly,Yes,Security Guard,Yes
Tiruchirappalli,"Garcia, Lewis and Holder",Anna University Tiruchirappalli,"Unit 6010 Box 4284
DPO AP 85646",14781,Double,"Wi-Fi, Laundry",2.5425934721532437,4.747668653824545,Itself likely safe alone thus dark safe.,001-029-919-1308x0376,Robinson-Hernandez,Butlerchester,Female-only,Not Available,No,0,Not Included,140,Near local train,No,100 Mbps,Quarterly,Yes,Security Guard,No
Erode,Mcfarland and Sons,Erode Arts and Science College,"3785 Matthews Trafficway Suite 576
Port Derek, VA 63956",13358,Double,"Wi-Fi, Laundry",3.9167390903004624,4.973483751636582,Imagine group positive whom pressure.,807.781.4618x320,Garcia PLC,Michellechester,Female-only,Not Available,Yes,2614,Not Included,138,5 min walk to bus stop,No,Unlimited,Quarterly,Yes,"CCTV, Guard at Night",No
Chennai,"Mccarthy, Ramirez and Hoffman",SRM Institute of Science and Technology,"PSC 3548, Box 0032
APO AA 56905",9874,Shared,"Wi-Fi, Laundry",4.7728406586991925,3.489120976361955,Offer successful with call.,001-822-824-0096x3287,Noble Group,Elainefort,Co-ed,Not Available,No,0,Not Included,144,5 min walk to bus stop,Yes,Unlimited,Monthly,Yes,"CCTV, Guard at Night",Yes
Chennai,"Jones, Thompson and Sanchez",SRM Institute of Science and Technology,"27272 Cole Ridge
Port Stephenmouth, NM 34328",9717,Shared,"Wi-Fi, Laundry",2.219960465917431,3.251469736320983,Across citizen member.,512.880.9525x24329,"Norman, Johnson and Rodriguez",Lake Matthew,Male-only,Available,Yes,1131,Included,133,Near metro station,Yes,50 Mbps,Monthly,No,CCTV,Yes
Salem,Hernandez-Cooper,Periyar University,"902 Lewis Field Apt. 490
Jeffersonshire, AZ 72509",7287,Double,"Wi-Fi, Laundry",4.4144915581153565,3.328773182400642,Involve team discuss arrive financial security.,(720)364-0066,"Brown, Reeves and Perry",Lake Barbara,Co-ed,Available,Yes,2563,Not Included,160,5 min walk to bus stop,Yes,Unlimited,Monthly,Yes,"CCTV, Guard at Night",Yes
Salem,Webster-Daniel,Periyar University,"4882 Everett Spurs
Rivasfurt, SC 98404",11067,Shared,"AC, Laundry, Parking",1.4147538776620596,3.830253611280954,Real west become good build.,001-572-340-0435,"Greene, Woods and Blake",Kelseyberg,Female-only,Available,Yes,2772,Included,158,Near metro station,Yes,50 Mbps,Monthly,No,Security Guard,Yes
Chennai,Hansen-Berry,SRM Institute of Science and Technology,"6804 Sandra Oval Apt. 298
Pattersonshire, KS 16006",9436,Single,"Wi-Fi, AC, Laundry, Kitchen",4.610684458589154,3.1291091233404593,Defense building Mr adult place trade short.,+1-509-370-2527x1382,Taylor-Graves,South Crystal,Male-only,Available,Yes,2808,Not Included,148,Near local train,No,Unlimited,Quarterly,No,CCTV,No
Erode,"Acevedo, Allen and Riley",The Gandhigram Rural Institute,"563 Williams Course Suite 901
New Abigailborough, HI 77700",6024,Shared,"Wi-Fi, Laundry",3.1233422579093175,3.4799927592282383,Ready agency trip.,+1-157-589-7456x35142,"Pitts, Walters and Spencer",New Nicholaston,Female-only,Not Available,No,0,Included,124,Near local train,Yes,100 Mbps,Monthly,Yes,CCTV,No
Coimbatore,Price and Sons,PSG College of Technology,"834 Simpson Cove
Jamieport, OR 54592",6909,Single,"Wi-Fi, AC, Laundry, Kitchen",3.06383952465043,4.338345723455653,Meeting manage next blue reflect.,246.304.7804x86246,Horton Inc,North Michaelstad,Male-only,Available,No,0,Included,171,Near local train,Yes,100 Mbps,Quarterly,No,Security Guard,Yes
Vellore,Thompson-Hernandez,VIT Vellore,"Unit 1977 Box 2024
DPO AE 36660",13724,Double,"Wi-Fi, AC, Laundry, Kitchen",3.3779612894181894,3.4378941754667323,Vote five seven risk.,456.881.9025,Wagner LLC,Port Michaelberg,Female-only,Not Available,No,0,Not Included,148,5 min walk to bus stop,No,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",No
Chennai,Carter PLC,Anna University,"PSC 2172, Box 4788
APO AP 47658",6938,Single,"Wi-Fi, AC, Laundry, Kitchen",1.9838252652773964,3.632185532693675,West rule art together.,419.683.7173,"Barrett, Craig and Riley",East Rebeccaview,Male-only,Available,No,0,Not Included,144,5 min walk to bus stop,No,50 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Madurai,Cooper-Wilcox,Madurai Kamaraj University,"1243 Katie Lock Suite 934
Rogerschester, UT 79883",6773,Single,"AC, Laundry, Parking",3.3603995970216873,4.317768436016447,Spend man Mr pressure.,386.285.0065x68082,"Long, Foley and Lee",Lake Catherine,Co-ed,Not Available,No,0,Included,104,5 min walk to bus stop,No,100 Mbps,Monthly,No,Security Guard,No
